ID,TYPE,X,Y,Z,ORDERPARAMETER,NORMALIZED X, NORMALIZED Y, NORMALIZED Z, NORMALIZED OP, CN
519,2,8.203210,-79.506699,5.977850,34.365627,-0.817831,-0.888832,-0.733333,0.999826,12
678,2,5.486290,-78.600998,5.977850,34.365448,-0.878369,-0.878737,-0.733333,0.999821,12
713,2,7.297440,-77.695396,8.002850,34.365425,-0.838013,-0.868644,-0.600000,0.999821,12
521,2,9.108900,-81.317902,8.002850,34.365803,-0.797651,-0.909020,-0.600000,0.999831,12
518,2,10.920200,-80.412102,5.977850,34.364971,-0.757291,-0.898924,-0.733333,0.999807,12
524,2,10.014300,-78.600998,8.002850,34.365669,-0.777477,-0.878737,-0.600000,0.999828,12
551,2,11.825500,-77.695396,5.977850,34.365398,-0.737120,-0.868644,-0.733333,0.999820,12
553,2,12.731300,-79.506699,8.002850,34.365788,-0.716937,-0.888832,-0.600000,0.999831,12
359,2,13.636900,-81.317902,5.977850,34.365707,-0.696758,-0.909020,-0.733333,0.999829,12
364,2,15.448200,-80.412102,8.002850,34.365097,-0.656399,-0.898924,-0.600000,0.999811,12
391,2,17.259300,-79.506699,5.977850,34.365681,-0.616044,-0.888832,-0.733333,0.999828,12
550,2,14.542400,-78.600998,5.977850,34.365326,-0.676582,-0.878737,-0.733333,0.999818,12
585,2,16.353500,-77.695396,8.002850,34.365368,-0.636227,-0.868644,-0.600000,0.999819,12
393,2,18.165001,-81.317902,8.002850,34.365814,-0.595864,-0.909020,-0.600000,0.999832,12
390,2,19.976299,-80.412102,5.977850,34.364857,-0.555505,-0.898924,-0.733333,0.999804,12
396,2,19.070400,-78.600998,8.002850,34.365658,-0.575690,-0.878737,-0.600000,0.999827,12
421,2,20.881599,-77.695396,5.977850,34.365379,-0.535333,-0.868644,-0.733333,0.999819,12
423,2,21.787300,-79.506699,8.002850,34.365795,-0.515152,-0.888832,-0.600000,0.999831,12
870,2,3.674690,-74.978600,5.977850,34.365406,-0.918735,-0.838362,-0.733333,0.999820,12
871,2,0.957753,-74.072998,5.977850,25.774208,-0.979273,-0.828268,-0.733333,0.749869,9
873,2,1.863580,-75.884201,8.002850,31.501577,-0.959090,-0.848456,-0.600000,0.916500,11
876,2,2.768850,-73.167397,8.002850,34.365768,-0.938919,-0.818174,-0.600000,0.999831,12
858,2,0.052465,-76.789803,5.977850,17.182636,-0.999445,-0.858550,-0.733333,0.499908,6
684,2,4.580510,-76.789803,8.002850,34.365524,-0.898552,-0.858550,-0.600000,0.999823,12
711,2,6.391620,-75.884201,5.977850,34.365322,-0.858197,-0.848456,-0.733333,0.999818,12
716,2,8.202740,-74.978600,8.002850,34.365520,-0.817842,-0.838362,-0.600000,0.999823,12
902,2,7.296900,-73.167397,5.977850,34.365574,-0.838025,-0.818174,-0.733333,0.999825,12
905,2,5.485800,-74.072998,8.002850,34.365677,-0.878380,-0.828268,-0.600000,0.999828,12
710,2,9.108550,-76.789803,5.977850,34.365410,-0.797658,-0.858550,-0.733333,0.999820,12
742,2,12.730800,-74.978600,5.977850,34.365425,-0.716948,-0.838362,-0.733333,0.999821,12
743,2,10.013800,-74.072998,5.977850,34.365513,-0.777488,-0.828268,-0.733333,0.999823,12
745,2,10.919700,-75.884201,8.002850,34.365524,-0.757303,-0.848456,-0.600000,0.999823,12
748,2,11.824900,-73.167397,8.002850,34.365784,-0.737133,-0.818174,-0.600000,0.999831,12
556,2,13.636600,-76.789803,8.002850,34.365429,-0.696765,-0.858550,-0.600000,0.999821,12
583,2,15.447700,-75.884201,5.977850,34.365204,-0.656410,-0.848456,-0.733333,0.999814,12
588,2,17.258801,-74.978600,8.002850,34.365532,-0.616055,-0.838362,-0.600000,0.999824,12
774,2,16.353001,-73.167397,5.977850,34.365635,-0.636238,-0.818174,-0.733333,0.999827,12
777,2,14.541900,-74.072998,8.002850,34.365688,-0.676593,-0.828268,-0.600000,0.999828,12
582,2,18.164600,-76.789803,5.977850,34.365509,-0.595873,-0.858550,-0.733333,0.999823,12
614,2,21.786900,-74.978600,5.977850,34.365421,-0.515161,-0.838362,-0.733333,0.999820,12
615,2,19.069901,-74.072998,5.977850,34.365578,-0.575701,-0.828268,-0.733333,0.999825,12
617,2,19.975800,-75.884201,8.002850,34.365623,-0.555516,-0.848456,-0.600000,0.999826,12
620,2,20.881001,-73.167397,8.002850,34.365776,-0.535346,-0.818174,-0.600000,0.999831,12
1069,2,1.862990,-71.356102,5.977850,31.501625,-0.959103,-0.797985,-0.733333,0.916502,11
1073,2,0.957119,-69.544899,8.002850,25.774107,-0.979288,-0.777797,-0.600000,0.749866,9
